Column1,match,Team,bowlerName,overs.1,overs.2,maiden,runs,wickets,economy,zeros,fours,sixes,wides,noBalls,match_id,Balls
487,India Vs England,India,Hardik Pandya,3,0,0,34,0,11.33,5,1,2,0,0,T20I # 1878,18
488,Pakistan Vs England,England,Ben Stokes,4,0,0,32,1,8,6,1,0,2,1,T20I # 1879,24
489,Pakistan Vs England,England,Chris Woakes,3,0,0,26,0,8.66,7,2,1,2,0,T20I # 1879,18
490,Pakistan Vs England,England,Sam Curran,4,0,0,12,3,3,15,0,0,0,0,T20I # 1879,24
491,Pakistan Vs England,England,Adil Rashid,4,0,1,22,2,5.5,10,1,0,1,0,T20I # 1879,24
492,Pakistan Vs England,England,Chris Jordan,4,0,0,27,2,6.75,9,3,0,0,0,T20I # 1879,24
493,Pakistan Vs England,England,Liam Livingstone,1,0,0,16,0,16,1,1,1,1,0,T20I # 1879,6
494,Pakistan Vs England,Pakistan,Shaheen Shah Afridi,2,1,0,13,1,6,6,1,0,0,0,T20I # 1879,13
495,Pakistan Vs England,Pakistan,Naseem Shah,4,0,0,30,0,7.5,15,3,1,1,0,T20I # 1879,24
496,Pakistan Vs England,Pakistan,Haris Rauf,4,0,0,23,2,5.75,13,3,0,1,0,T20I # 1879,24
497,Pakistan Vs England,Pakistan,Shadab Khan,4,0,0,20,1,5,10,1,0,0,0,T20I # 1879,24
498,Pakistan Vs England,Pakistan,Mohammad Wasim,4,0,0,38,1,9.5,5,5,0,2,0,T20I # 1879,24
499,Pakistan Vs England,Pakistan,Iftikhar Ahmed,0,5,0,13,0,15.6,0,1,1,0,0,T20I # 1879,5
